,rpt_dt,addr_pct_cd,ofns_desc,loc_of_occur_desc,prem_typ_desc,latitude,longitude,lat_lon,coords_list
74,2020-08-18T00:00:00.000,47,THEFT-FRAUD,INSIDE,RESIDENCE-HOUSE,40.87462627100007,-73.83625061699998,"{'latitude': '40.87462627100007', 'longitude': '-73.83625061699998'}","['40.87462627100007', '-73.83625061699998']"
75,2020-08-15T00:00:00.000,18,ASSAULT 3 & RELATED OFFENSES,INSIDE,HOTEL/MOTEL,40.76419054300004,-73.99448908899996,"{'latitude': '40.76419054300004', 'longitude': '-73.99448908899996'}","['40.76419054300004', '-73.99448908899996']"
76,2020-08-15T00:00:00.000,6,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,,40.733520799000075,-74.00353394099994,"{'latitude': '40.733520799000075', 'longitude': '-74.00353394099994'}","['40.733520799000075', '-74.00353394099994']"
77,2020-08-13T00:00:00.000,48,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,,40.85612162700004,-73.89237808299998,"{'latitude': '40.85612162700004', 'longitude': '-73.89237808299998'}","['40.85612162700004', '-73.89237808299998']"
78,2020-08-11T00:00:00.000,111,MISCELLANEOUS PENAL LAW,REAR OF,RESIDENCE-HOUSE,40.759563385000035,-73.78829003299995,"{'latitude': '40.759563385000035', 'longitude': '-73.78829003299995'}","['40.759563385000035', '-73.78829003299995']"
79,2020-08-09T00:00:00.000,113,BURGLARY,INSIDE,OTHER,40.66937520400006,-73.77358750899998,"{'latitude': '40.66937520400006', 'longitude': '-73.77358750899998'}","['40.66937520400006', '-73.77358750899998']"
80,2020-08-09T00:00:00.000,114,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,,40.756667420000035,-73.94394919599996,"{'latitude': '40.756667420000035', 'longitude': '-73.94394919599996'}","['40.756667420000035', '-73.94394919599996']"
81,2020-08-09T00:00:00.000,28,ROBBERY,,STREET,40.80390523700004,-73.95203660799997,"{'latitude': '40.80390523700004', 'longitude': '-73.95203660799997'}","['40.80390523700004', '-73.95203660799997']"
82,2020-06-21T00:00:00.000,41,GRAND LARCENY OF MOTOR VEHICLE,FRONT OF,STREET,40.81747308300004,-73.89815606799993,"{'latitude': '40.81747308300004', 'longitude': '-73.89815606799993'}","['40.81747308300004', '-73.89815606799993']"
83,2020-08-08T00:00:00.000,42,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,,40.82211655000003,-73.90061307699995,"{'latitude': '40.82211655000003', 'longitude': '-73.90061307699995'}","['40.82211655000003', '-73.90061307699995']"
84,2020-08-07T00:00:00.000,47,FELONY ASSAULT,,OTHER,40.886891536000064,-73.86538102399999,"{'latitude': '40.886891536000064', 'longitude': '-73.86538102399999'}","['40.886891536000064', '-73.86538102399999']"
85,2020-08-06T00:00:00.000,102,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,,40.69627862000005,-73.85456486499999,"{'latitude': '40.69627862000005', 'longitude': '-73.85456486499999'}","['40.69627862000005', '-73.85456486499999']"
86,2020-08-05T00:00:00.000,71,GRAND LARCENY OF MOTOR VEHICLE,,STREET,40.66313339700002,-73.96243216099998,"{'latitude': '40.66313339700002', 'longitude': '-73.96243216099998'}","['40.66313339700002', '-73.96243216099998']"
87,2020-08-05T00:00:00.000,30,BURGLARY,,STREET,40.83147912800007,-73.94676981299993,"{'latitude': '40.83147912800007', 'longitude': '-73.94676981299993'}","['40.83147912800007', '-73.94676981299993']"
88,2020-08-04T00:00:00.000,52,GRAND LARCENY OF MOTOR VEHICLE,,STREET,40.86839482800008,-73.89415516899999,"{'latitude': '40.86839482800008', 'longitude': '-73.89415516899999'}","['40.86839482800008', '-73.89415516899999']"
89,2020-08-04T00:00:00.000,47,FELONY ASSAULT,FRONT OF,STREET,40.87817003900005,-73.84445048899995,"{'latitude': '40.87817003900005', 'longitude': '-73.84445048899995'}","['40.87817003900005', '-73.84445048899995']"
90,2020-08-04T00:00:00.000,43,GRAND LARCENY,INSIDE,RESIDENCE - APT. HOUSE,40.83235493800004,-73.85903742099998,"{'latitude': '40.83235493800004', 'longitude': '-73.85903742099998'}","['40.83235493800004', '-73.85903742099998']"
91,2020-08-03T00:00:00.000,9,ASSAULT 3 & RELATED OFFENSES,INSIDE,CHAIN STORE,40.72601663000006,-73.99628535099998,"{'latitude': '40.72601663000006', 'longitude': '-73.99628535099998'}","['40.72601663000006', '-73.99628535099998']"
