Borough,FIPS County Code,NTA Code,Name,2010 Total Population,2010 Total Acres,2010 Persons Per Acre
Bronx,5,BX98,Rikers Island,"11,091",390.27,28.4
Bronx,5,BX99,park-cemetery-etc-Bronx,"1,906",4930.35,0.4
Manhattan,61,MN01,Marble Hill-Inwood,"46,746",405.79,115.2
Manhattan,61,MN03,Central Harlem North-Polo Grounds,"75,282",594.66,126.6
Manhattan,61,MN04,Hamilton Heights,"48,520",367.41,132.1
Manhattan,61,MN06,Manhattanville,"22,950",248.49,92.4
Manhattan,61,MN09,Morningside Heights,"55,929",465.11,120.2
Manhattan,61,MN11,Central Harlem South,"43,383",331.39,130.9
Manhattan,61,MN12,Upper West Side,"132,378",791.29,167.3
Manhattan,61,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,"70,150",851.67,82.4
Manhattan,61,MN14,Lincoln Square,"61,489",371,165.7
Manhattan,61,MN15,Clinton,"45,884",422.45,108.6
Manhattan,61,MN17,Midtown-Midtown South,"28,630",692.81,41.3
Manhattan,61,MN19,Turtle Bay-East Midtown,"51,231",410.95,124.7
Manhattan,61,MN20,Murray Hill-Kips Bay,"50,742",334.93,151.5
Manhattan,61,MN21,Gramercy,"27,988",171.71,163
Manhattan,61,MN22,East Village,"44,136",250.02,176.5
Manhattan,61,MN23,West Village,"66,880",583.47,114.6
Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,"42,742",581.62,73.5
Manhattan,61,MN25,Battery Park City-Lower Manhattan,"39,699",479.77,82.7
Manhattan,61,MN27,Chinatown,"47,844",332.27,144
Manhattan,61,MN28,Lower East Side,"72,957",535.91,136.1
Manhattan,61,MN31,Lenox Hill-Roosevelt Island,"80,771",511.71,157.8
Manhattan,61,MN32,Yorkville,"77,942",319.14,244.2
Manhattan,61,MN33,East Harlem South,"57,902",389.41,148.7
Manhattan,61,MN34,East Harlem North,"58,019",573.94,101.1
Manhattan,61,MN35,Washington Heights North,"67,136",525.9,127.7
Manhattan,61,MN36,Washington Heights South,"84,438",533.01,158.4
Manhattan,61,MN40,Upper East Side-Carnegie Hill,"61,207",460.66,132.9
Manhattan,61,MN50,Stuyvesant Town-Cooper Village,"21,049",132.9,158.4
Manhattan,61,MN99,park-cemetery-etc-Manhattan,"1,849",1940.99,1
Queens,81,QN01,South Jamaica,"38,894",918.87,42.3
Queens,81,QN02,Springfield Gardens North,"25,409",652.77,38.9
Queens,81,QN03,Springfield Gardens South-Brookville,"20,132",991.81,20.3
Queens,81,QN05,Rosedale,"25,063",1354.44,18.5
Queens,81,QN06,Jamaica Estates-Holliswood,"25,480",984.39,25.9
Queens,81,QN07,Hollis,"20,269",525.1,38.6
Queens,81,QN08,St. Albans,"48,593",1778.68,27.3
Queens,81,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,"28,018",2033.88,13.8
Queens,81,QN12,Hammels-Arverne-Edgemere,"36,885",1474.08,25
Queens,81,QN15,Far Rockaway-Bayswater,"50,058",1251,40
Queens,81,QN17,Forest Hills,"83,728",1328.22,63
Queens,81,QN18,Rego Park,"28,260",455.74,62
Queens,81,QN19,Glendale,"32,496",686.86,47.3
Queens,81,QN20,Ridgewood,"69,317",1156.31,59.9
Queens,81,QN21,Middle Village,"37,929",1329.29,28.5
Queens,81,QN22,Flushing,"72,008",853.06,84.4
Queens,81,QN23,College Point,"24,275",1148.84,21.1
Queens,81,QN25,Corona,"57,658",462.74,124.6
Queens,81,QN26,North Corona,"52,037",413.24,125.9
Queens,81,QN27,East Elmhurst,"23,150",443.53,52.2
Queens,81,QN28,Jackson Heights,"108,152",1101.36,98.2
Queens,81,QN29,Elmhurst,"88,427",750.28,117.9
Queens,81,QN30,Maspeth,"30,516",818.44,37.3
Queens,81,QN31,Hunters Point-Sunnyside-West Maspeth,"63,271",2340.44,27
Queens,81,QN33,Cambria Heights,"18,677",772.01,24.2
Queens,81,QN34,Queens Village,"52,504",1611.17,32.6
Queens,81,QN35,Briarwood-Jamaica Hills,"39,138",673.45,58.1
Queens,81,QN37,Kew Gardens Hills,"37,479",873.05,42.9
Queens,81,QN38,Pomonok-Flushing Heights-Hillcrest,"34,034",892.6,38.1
Queens,81,QN41,Fresh Meadows-Utopia,"17,812",636.38,28
Queens,81,QN42,Oakland Gardens,"28,237",1154.69,24.5
Queens,81,QN43,Bellerose,"25,287",1258.85,20.1
Queens,81,QN44,Glen Oaks-Floral Park-New Hyde Park,"22,571",1047.46,21.5
