Borough,FIPS_County_Code,ntacode,Name,TotalPop2010,TotalAcres2010,PPA2010,Pop20t29,Pop20t29P,MdHHIncE
Bronx,5,BX35,Morrisania-Melrose,37865,387.46,97.7,6892,16.8,28862
Bronx,5,BX36,University Heights-Morris Heights,54188,484.32,111.9,9397,16.7,24603
Bronx,5,BX37,Van Nest-Morris Park-Westchester Square,29250,829.61,35.3,4526,15.6,49727
Bronx,5,BX39,Mott Haven-Port Morris,52413,951.01,55.1,9256,17.1,21736
Bronx,5,BX40,Fordham South,28262,144.63,195.4,5235,18.6,26122
Bronx,5,BX41,Mount Hope,51807,337.52,153.5,9818,18.4,30793
Bronx,5,BX43,Norwood,40494,360.93,112.2,6559,15.5,34002
Bronx,5,BX44,Williamsbridge-Olinville,61321,833.25,73.6,10688,16,44036
Bronx,5,BX46,Parkchester,29821,210.76,141.5,4385,14.5,54550
Bronx,5,BX49,Pelham Parkway,30073,531.08,56.6,4637,16,56218
Bronx,5,BX52,Schuylerville-Throgs Neck-Edgewater Park,44167,2068.82,21.3,6199,13.2,67536
Bronx,5,BX55,Soundview-Bruckner,35634,371.44,95.9,6296,16.9,30184
Bronx,5,BX59,Westchester-Unionport,27248,553.94,49.2,4787,16.9,49849
Bronx,5,BX62,Woodlawn-Wakefield,42483,901.76,47.1,6754,15.4,62175
Bronx,5,BX63,West Concourse,39282,436.78,89.9,6367,16.7,28758
Bronx,5,BX75,Crotona Park East,20277,378.51,53.6,3765,17,22123
Bronx,5,BX98,Rikers Island,11091,390.27,28.4,2142,30.2,
Bronx,5,BX99,park-cemetery-etc-Bronx,1906,4930.35,0.4,193,23.2,41999
Manhattan,61,MN01,Marble Hill-Inwood,46746,405.79,115.2,8090,15.3,50627
Manhattan,61,MN03,Central Harlem North-Polo Grounds,75282,594.66,126.6,15418,17.9,42844
Manhattan,61,MN04,Hamilton Heights,48520,367.41,132.1,10869,20.6,51441
Manhattan,61,MN06,Manhattanville,22950,248.49,92.4,5583,23.6,35611
Manhattan,61,MN09,Morningside Heights,55929,465.11,120.2,16969,31.9,62311
Manhattan,61,MN11,Central Harlem South,43383,331.39,130.9,9463,18.6,58074
Manhattan,61,MN12,Upper West Side,132378,791.29,167.3,16182,12.2,112188
